word,ipa_yoruba,ipa_swahili,agreement,primary_candidate_ipa,alternate_candidate_ipa,approved_ipa,review_status,reviewer_notes,source
githomo,ɡ i s o m o,ɡ i t ɔ m ɔ,no,ɡ i s o m o,ɡ i t ɔ m ɔ,,needs-analyst-review,,transphone_yoruba_swahili
han,h ɔ̃,h a n,no,h ɔ̃,h a n,,needs-analyst-review,,transphone_yoruba_swahili
harĩa,h a r e a,h a r a,no,h a r e a,h a r a,,needs-analyst-review,,transphone_yoruba_swahili
ine,ĩ n e,i n a,no,ĩ n e,i n a,,needs-analyst-review,,transphone_yoruba_swahili
international,ĩ t e r n a t i o n a l,i n t a r n a t i ɔ n a l,no,ĩ t e r n a t i o n a l,i n t a r n a t i ɔ n a l,,needs-analyst-review,,transphone_yoruba_swahili
ithaa,i s a,i t a,no,i s a,i t a,,needs-analyst-review,,transphone_yoruba_swahili
ithathatú,i s a s a t u,i t a t a t u,no,i s a s a t u,i t a t a t u,,needs-analyst-review,,transphone_yoruba_swahili
kanitha,k a n i s a,k a n i t a,no,k a n i s a,k a n i t a,,needs-analyst-review,,transphone_yoruba_swahili
koori,k o r i,k ɔ r i,no,k o r i,k ɔ r i,,needs-analyst-review,,transphone_yoruba_swahili
kìrìma,k i r i m a,k i r i m a,yes,k i r i m a,,k i r i m a,auto-accepted,,transphone_yoruba_swahili
maguta,m a ɡ u t a,m a ɡ u t a,yes,m a ɡ u t a,,m a ɡ u t a,auto-accepted,,transphone_yoruba_swahili
makoragwo,m a k o r a ɡ w o,m a k ɔ r a w ɔ,no,m a k o r a ɡ w o,m a k ɔ r a w ɔ,,needs-analyst-review,,transphone_yoruba_swahili
mara,m a r a,m a r a,yes,m a r a,,m a r a,auto-accepted,,transphone_yoruba_swahili
mûgwanja,m u ɡ w ẽ d a,m u ɡ w a n ʃ a,no,m u ɡ w ẽ d a,m u ɡ w a n ʃ a,,needs-analyst-review,,transphone_yoruba_swahili
nake,n a k e,n a k a,no,n a k e,n a k a,,needs-analyst-review,,transphone_yoruba_swahili
ngima,m i m a,ŋ i m a,no,m i m a,ŋ i m a,,needs-analyst-review,,transphone_yoruba_swahili
njega,d e ɡ a,d a ɡ a,no,d e ɡ a,d a ɡ a,,needs-analyst-review,,transphone_yoruba_swahili
njogu,d o ɡ u,d ɔ ɡ u,no,d o ɡ u,d ɔ ɡ u,,needs-analyst-review,,transphone_yoruba_swahili
nyamū,m a m u,ɲ a m u,no,m a m u,ɲ a m u,,needs-analyst-review,,transphone_yoruba_swahili
nyúmba,m ũ b a,ɲ u m b a,no,m ũ b a,ɲ u m b a,,needs-analyst-review,,transphone_yoruba_swahili
úrugarí,u r u ɡ a r i,u r u ɡ a r i,yes,u r u ɡ a r i,,u r u ɡ a r i,auto-accepted,,transphone_yoruba_swahili
ũndũ,ũ d o,u ɔ d ɔ,no,ũ d o,u ɔ d ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ũrugarĩ,o r u ɡ a r e,ɔ r u ɡ a r a,no,o r u ɡ a r e,ɔ r u ɡ a r a,,needs-analyst-review,,transphone_yoruba_swahili
arìa,a r i a,a r i a,yes,a r i a,,a r i a,auto-accepted,,transphone_yoruba_swahili
bururini,b u r u r ĩ n i,b u r u r i n i,no,b u r u r ĩ n i,b u r u r i n i,,needs-analyst-review,,transphone_yoruba_swahili
gatagatĩ,ɡ a t a ɡ a t e,ɡ a t a ɡ a t a,no,ɡ a t a ɡ a t e,ɡ a t a ɡ a t a,,needs-analyst-review,,transphone_yoruba_swahili
hĩndĩ,h ɛ̃ d e,h a d a,no,h ɛ̃ d e,h a d a,,needs-analyst-review,,transphone_yoruba_swahili
jira,d i r a,ʃ i r a,no,d i r a,ʃ i r a,,needs-analyst-review,,transphone_yoruba_swahili
maitho,m a i s o,m a i t ɔ,no,m a i s o,m a i t ɔ,,needs-analyst-review,,transphone_yoruba_swahili
makîria,m a k i r i a,m a k i r i a,yes,m a k i r i a,,m a k i r i a,auto-accepted,,transphone_yoruba_swahili
meerì,m e r i,m a r i,no,m e r i,m a r i,,needs-analyst-review,,transphone_yoruba_swahili
muthemba,m u s ɛ̃ b a,m u t a m b a,no,m u s ɛ̃ b a,m u t a m b a,,needs-analyst-review,,transphone_yoruba_swahili
mwiri,m w i r i,m w i r i,yes,m w i r i,,m w i r i,auto-accepted,,transphone_yoruba_swahili
mûtongoria,m u t õ ɡ o r i a,m u t ɔ n ɡ ɔ r i a,no,m u t õ ɡ o r i a,m u t ɔ n ɡ ɔ r i a,,needs-analyst-review,,transphone_yoruba_swahili
mũnene,m o n e n e,m ɔ n a n a,no,m o n e n e,m ɔ n a n a,,needs-analyst-review,,transphone_yoruba_swahili
nile,n i l e,n i l a,no,n i l e,n i l a,,needs-analyst-review,,transphone_yoruba_swahili
njĩra,d e r a,d a r a,no,d e r a,d a r a,,needs-analyst-review,,transphone_yoruba_swahili
nyoni,m o n i,ɲ ɔ n i,no,m o n i,ɲ ɔ n i,,needs-analyst-review,,transphone_yoruba_swahili
ríera,r i e r a,r i a r a,no,r i e r a,r i a r a,,needs-analyst-review,,transphone_yoruba_swahili
rîrîa,r i r i a,r i r i a,yes,r i r i a,,r i r i a,auto-accepted,,transphone_yoruba_swahili
thamaki,s a m a k i,t a m a k i,no,s a m a k i,t a m a k i,,needs-analyst-review,,transphone_yoruba_swahili
thukuru,s u k u r u,t u k u r u,no,s u k u r u,t u k u r u,,needs-analyst-review,,transphone_yoruba_swahili
victoria,f i t o r i a,v i t ɔ r i a,no,f i t o r i a,v i t ɔ r i a,,needs-analyst-review,,transphone_yoruba_swahili
wabici,w a b i t i,w a b i t i,yes,w a b i t i,,w a b i t i,auto-accepted,,transphone_yoruba_swahili
wiki,w i k i,w i k i,yes,w i k i,,w i k i,auto-accepted,,transphone_yoruba_swahili
wíra,w i r a,w i r a,yes,w i r a,,w i r a,auto-accepted,,transphone_yoruba_swahili
anja,ɔ̃ d a,a d a,no,ɔ̃ d a,a d a,,needs-analyst-review,,transphone_yoruba_swahili
arĩ,a r e,a r a,no,a r e,a r a,,needs-analyst-review,,transphone_yoruba_swahili
atongoria,a t õ ɡ o r i a,a t ɔ ɡ ɔ r i a,no,a t õ ɡ o r i a,a t ɔ ɡ ɔ r i a,,needs-analyst-review,,transphone_yoruba_swahili
bùrùri,b u r u r i,b u r u r i,yes,b u r u r i,,b u r u r i,auto-accepted,,transphone_yoruba_swahili
eldoret,e l d o r e t,a l d ɔ r a t,no,e l d o r e t,a l d ɔ r a t,,needs-analyst-review,,transphone_yoruba_swahili
gaka,ɡ a k a,ɡ a k a,yes,ɡ a k a,,ɡ a k a,auto-accepted,,transphone_yoruba_swahili
irí,i r i,i r i,yes,i r i,,i r i,auto-accepted,,transphone_yoruba_swahili
kihoto,k i h o t o,k i h ɔ t ɔ,no,k i h o t o,k i h ɔ t ɔ,,needs-analyst-review,,transphone_yoruba_swahili
kuura,k u r a,k u r a,yes,k u r a,,k u r a,auto-accepted,,transphone_yoruba_swahili
marìa,m a r i a,m a r i a,yes,m a r i a,,m a r i a,auto-accepted,,transphone_yoruba_swahili
maũndũ,m a õ d o,m a ɔ d ɔ,no,m a õ d o,m a ɔ d ɔ,,needs-analyst-review,,transphone_yoruba_swahili
mbunge,b ũ ɡ e,m b u ɡ a,no,b ũ ɡ e,m b u ɡ a,,needs-analyst-review,,transphone_yoruba_swahili
meciria,m e t i r i a,m a t i r i a,no,m e t i r i a,m a t i r i a,,needs-analyst-review,,transphone_yoruba_swahili
minister,m i n i s t e r,m i n i s t a r,no,m i n i s t e r,m i n i s t a r,,needs-analyst-review,,transphone_yoruba_swahili
mirioni,m i r i o n i,m i r i ɔ n i,no,m i r i o n i,m i r i ɔ n i,,needs-analyst-review,,transphone_yoruba_swahili
mwene,m w e n e,m w a n a,no,m w e n e,m w a n a,,needs-analyst-review,,transphone_yoruba_swahili
múrúthi,m u r u s i,m u r u t i,no,m u r u s i,m u r u t i,,needs-analyst-review,,transphone_yoruba_swahili
mūrūthi,m u r u s i,m u r u t i,no,m u r u s i,m u r u t i,,needs-analyst-review,,transphone_yoruba_swahili
namo,n a m o,n a m ɔ,no,n a m o,n a m ɔ,,needs-analyst-review,,transphone_yoruba_swahili
nobel,n o b e l,n ɔ b a l,no,n o b e l,n ɔ b a l,,needs-analyst-review,,transphone_yoruba_swahili
níwe,n i w e,n i w a,no,n i w e,n i w a,,needs-analyst-review,,transphone_yoruba_swahili
paris,p a r i s,p a r i s,yes,p a r i s,,p a r i s,auto-accepted,,transphone_yoruba_swahili
rímwe,r ĩ w e,r i m w a,no,r ĩ w e,r i m w a,,needs-analyst-review,,transphone_yoruba_swahili
rúi,r u i,r u i,yes,r u i,,r u i,auto-accepted,,transphone_yoruba_swahili
tana,t a n a,t a n a,yes,t a n a,,t a n a,auto-accepted,,transphone_yoruba_swahili
taúni,t a u n i,t a u n i,yes,t a u n i,,t a u n i,auto-accepted,,transphone_yoruba_swahili
thii,s i,t i,no,s i,t i,,needs-analyst-review,,transphone_yoruba_swahili
thíinie,s i ĩ i e,t i n i a,no,s i ĩ i e,t i n i a,,needs-analyst-review,,transphone_yoruba_swahili
thíí,s i,t i,no,s i,t i,,needs-analyst-review,,transphone_yoruba_swahili
united,u n i t e d,u n i t a d,no,u n i t e d,u n i t a d,,needs-analyst-review,,transphone_yoruba_swahili
waguo,w a ɡ u o,w a ɡ u ɔ,no,w a ɡ u o,w a ɡ u ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ûmûthî,u m u s i,u m u t i,no,u m u s i,u m u t i,,needs-analyst-review,,transphone_yoruba_swahili
ūngì,ũ ɡ i,u ɡ i,no,ũ ɡ i,u ɡ i,,needs-analyst-review,,transphone_yoruba_swahili
athaki,a s a k i,a t a k i,no,a s a k i,a t a k i,,needs-analyst-review,,transphone_yoruba_swahili
biashara,b i a ʃ a r a,b i a ʃ a r a,yes,b i a ʃ a r a,,b i a ʃ a r a,auto-accepted,,transphone_yoruba_swahili
ciringi,t i r ĩ ɡ i,t i r i ɡ i,no,t i r ĩ ɡ i,t i r i ɡ i,,needs-analyst-review,,transphone_yoruba_swahili
city,t i k,i t i ɟ,no,t i k,i t i ɟ,,needs-analyst-review,,transphone_yoruba_swahili
daniel,d a n i e l,d a n i a l,no,d a n i e l,d a n i a l,,needs-analyst-review,,transphone_yoruba_swahili
gatatu,ɡ a t a t u,ɡ a t a t u,yes,ɡ a t a t u,,ɡ a t a t u,auto-accepted,,transphone_yoruba_swahili
gũkũ,ɡ o k o,ɡ ɔ k ɔ,no,ɡ o k o,ɡ ɔ k ɔ,,needs-analyst-review,,transphone_yoruba_swahili
itano,i t a n o,i t a n ɔ,no,i t a n o,i t a n ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ithatû,i s a t u,i t a t u,no,i s a t u,i t a t u,,needs-analyst-review,,transphone_yoruba_swahili
kagondu,k a ɡ õ d u,k a ɡ ɔ n d u,no,k a ɡ õ d u,k a ɡ ɔ n d u,,needs-analyst-review,,transphone_yoruba_swahili
kibaki,k i b a k i,k i b a k i,yes,k i b a k i,,k i b a k i,auto-accepted,,transphone_yoruba_swahili
korea,k o r e a,k ɔ r a,no,k o r e a,k ɔ r a,,needs-analyst-review,,transphone_yoruba_swahili
kwaga,k a ɡ a,k a ɡ a,yes,k a ɡ a,,k a ɡ a,auto-accepted,,transphone_yoruba_swahili
kìrìa,k i r i a,k i r i a,yes,k i r i a,,k i r i a,auto-accepted,,transphone_yoruba_swahili
magúrú,m a ɡ u r u,m a ɡ u r u,yes,m a ɡ u r u,,m a ɡ u r u,auto-accepted,,transphone_yoruba_swahili
maūndū,m a ũ d u,m a u n d u,no,m a ũ d u,m a u n d u,,needs-analyst-review,,transphone_yoruba_swahili
mwĩlĩ,m w i l e,m w a l a,no,m w i l e,m w a l a,,needs-analyst-review,,transphone_yoruba_swahili
mîena,m i e n a,m i a n a,no,m i e n a,m i a n a,,needs-analyst-review,,transphone_yoruba_swahili
mùndù,m ũ d u,m u n d u,no,m ũ d u,m u n d u,,needs-analyst-review,,transphone_yoruba_swahili
mùrùthi,m u r u s i,m u r u t i,no,m u r u s i,m u r u t i,,needs-analyst-review,,transphone_yoruba_swahili
múingí,m u ĩ ɡ i,m u i ɡ i,no,m u ĩ ɡ i,m u i ɡ i,,needs-analyst-review,,transphone_yoruba_swahili
niî,n i,n i,yes,n i,,n i,auto-accepted,,transphone_yoruba_swahili
njamu,d a m u,d a m u,yes,d a m u,,d a m u,auto-accepted,,transphone_yoruba_swahili
nyanya,m ã j a,ɲ a ɲ a,no,m ã j a,ɲ a ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
ota,o t a,ɔ t a,no,o t a,ɔ t a,,needs-analyst-review,,transphone_yoruba_swahili
riu,r i u,r i u,yes,r i u,,r i u,auto-accepted,,transphone_yoruba_swahili
thoko,s o k o,t ɔ k ɔ,no,s o k o,t ɔ k ɔ,,needs-analyst-review,,transphone_yoruba_swahili
thungura,s ũ ɡ u r a,t u ɡ u r a,no,s ũ ɡ u r a,t u ɡ u r a,,needs-analyst-review,,transphone_yoruba_swahili
thí,s i,t i,no,s i,t i,,needs-analyst-review,,transphone_yoruba_swahili
tondu,t o d u,t ɔ n d u,no,t o d u,t ɔ n d u,,needs-analyst-review,,transphone_yoruba_swahili
ucio,u t i o,u t i ɔ,no,u t i o,u t i ɔ,,needs-analyst-review,,transphone_yoruba_swahili
university,u n i f e r s i k,u n i v a r s i ɟ,no,u n i f e r s i k,u n i v a r s i ɟ,,needs-analyst-review,,transphone_yoruba_swahili
warì,w a r i,w a r i,yes,w a r i,,w a r i,auto-accepted,,transphone_yoruba_swahili
íni,ĩ n i,i n i,no,ĩ n i,i n i,,needs-analyst-review,,transphone_yoruba_swahili
aingì,a ĩ ɡ i,a i ɡ i,no,a ĩ ɡ i,a i ɡ i,,needs-analyst-review,,transphone_yoruba_swahili
angi,ã ɡ i,a ɡ i,no,ã ɡ i,a ɡ i,,needs-analyst-review,,transphone_yoruba_swahili
barabaraini,b a r a b a r a i n i,b a r a b a r a i n i,yes,b a r a b a r a i n i,,b a r a b a r a i n i,auto-accepted,,transphone_yoruba_swahili
bengi,b ẽ ɡ i,b a ɡ i,no,b ẽ ɡ i,b a ɡ i,,needs-analyst-review,,transphone_yoruba_swahili
harìa,h a r i a,h a r i a,yes,h a r i a,,h a r i a,auto-accepted,,transphone_yoruba_swahili
igúkorwo,i ɡ u k o r w o,i ɡ u k ɔ r w ɔ,no,i ɡ u k o r w o,i ɡ u k ɔ r w ɔ,,needs-analyst-review,,transphone_yoruba_swahili
jumaa,d u m a,ʃ u m a,no,d u m a,ʃ u m a,,needs-analyst-review,,transphone_yoruba_swahili
kamwe,k ã w e,k a m w a,no,k ã w e,k a m w a,,needs-analyst-review,,transphone_yoruba_swahili
kanua,k a n u a,k a n u a,yes,k a n u a,,k a n u a,auto-accepted,,transphone_yoruba_swahili
kilometer,k i l o m e t e r,k i l ɔ m a t a r,no,k i l o m e t e r,k i l ɔ m a t a r,,needs-analyst-review,,transphone_yoruba_swahili
kindiki,k ĩ d i k i,k i n d i k i,no,k ĩ d i k i,k i n d i k i,,needs-analyst-review,,transphone_yoruba_swahili
kinene,k i n e n e,k i n a n a,no,k i n e n e,k i n a n a,,needs-analyst-review,,transphone_yoruba_swahili
kuga,k u ɡ a,k u ɡ a,yes,k u ɡ a,,k u ɡ a,auto-accepted,,transphone_yoruba_swahili
kwí,k i,k i,yes,k i,,k i,auto-accepted,,transphone_yoruba_swahili
kúhúra,k u h u r a,k u h u r a,yes,k u h u r a,,k u h u r a,auto-accepted,,transphone_yoruba_swahili
marí,m a r i,m a r i,yes,m a r i,,m a r i,auto-accepted,,transphone_yoruba_swahili
mayo,m a j o,m a j ɔ,no,m a j o,m a j ɔ,,needs-analyst-review,,transphone_yoruba_swahili
mweru,m w e r u,m w a r u,no,m w e r u,m w a r u,,needs-analyst-review,,transphone_yoruba_swahili
mìena,m i e n a,m i a n a,no,m i e n a,m i a n a,,needs-analyst-review,,transphone_yoruba_swahili
naikuru,n a i k u r u,n a i k u r u,yes,n a i k u r u,,n a i k u r u,auto-accepted,,transphone_yoruba_swahili
nairofi,n a i r o f i,n a i r ɔ f i,no,n a i r o f i,n a i r ɔ f i,,needs-analyst-review,,transphone_yoruba_swahili
ngurani,ɡ u r a n i,ŋ u r a n i,no,ɡ u r a n i,ŋ u r a n i,,needs-analyst-review,,transphone_yoruba_swahili
nîguo,n i ɡ u o,n i ɡ u ɔ,no,n i ɡ u o,n i ɡ u ɔ,,needs-analyst-review,,transphone_yoruba_swahili
nîyo,n i j o,n i j ɔ,no,n i j o,n i j ɔ,,needs-analyst-review,,transphone_yoruba_swahili
orange,o r ã ɡ e,ɔ r a ɡ a,no,o r ã ɡ e,ɔ r a ɡ a,,needs-analyst-review,,transphone_yoruba_swahili
rírí,r i r i,r i r i,yes,r i r i,,r i r i,auto-accepted,,transphone_yoruba_swahili
taoni,t a o n i,t a ɔ n i,no,t a o n i,t a ɔ n i,,needs-analyst-review,,transphone_yoruba_swahili
tarìki,t a r i k i,t a r i k i,yes,t a r i k i,,t a r i k i,auto-accepted,,transphone_yoruba_swahili
wagi,w a ɡ i,w a ɡ i,yes,w a ɡ i,,w a ɡ i,auto-accepted,,transphone_yoruba_swahili
wendia,w ẽ d j a,w a n d i a,no,w ẽ d j a,w a n d i a,,needs-analyst-review,,transphone_yoruba_swahili
wiyathi,w i j a s i,w i j a t i,no,w i j a s i,w i j a t i,,needs-analyst-review,,transphone_yoruba_swahili
yayo,j a j o,j a j ɔ,no,j a j o,j a j ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ìngì,ĩ ɡ i,i ɡ i,no,ĩ ɡ i,i ɡ i,,needs-analyst-review,,transphone_yoruba_swahili
ìria,i r i a,i r i a,yes,i r i a,,i r i a,auto-accepted,,transphone_yoruba_swahili
ìtandatū,i t ã d a t u,i t a d a t u,no,i t ã d a t u,i t a d a t u,,needs-analyst-review,,transphone_yoruba_swahili
ùmotho,u m o s o,u m ɔ t ɔ,no,u m o s o,u m ɔ t ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ùmuthi,u m u s i,u m u t i,no,u m u s i,u m u t i,,needs-analyst-review,,transphone_yoruba_swahili
ũmwe,o m w e,ɔ m w a,no,o m w e,ɔ m w a,,needs-analyst-review,,transphone_yoruba_swahili
and,ã d,a d,no,ã d,a d,,needs-analyst-review,,transphone_yoruba_swahili
bere,b e r e,b a r a,no,b e r e,b a r a,,needs-analyst-review,,transphone_yoruba_swahili
brazil,b r a s i l,b r a z i l,no,b r a s i l,b r a z i l,,needs-analyst-review,,transphone_yoruba_swahili
celcius,t e l t i u s,t a l t i u s,no,t e l t i u s,t a l t i u s,,needs-analyst-review,,transphone_yoruba_swahili
corner,t o r n e r,t ɔ r n a r,no,t o r n e r,t ɔ r n a r,,needs-analyst-review,,transphone_yoruba_swahili
eliud,e l j u d,a l i u d,no,e l j u d,a l i u d,,needs-analyst-review,,transphone_yoruba_swahili
family,f a m i l,f a m i j,no,f a m i l,f a m i j,,needs-analyst-review,,transphone_yoruba_swahili
gatagatí,ɡ a t a ɡ a t i,ɡ a t a ɡ a t i,yes,ɡ a t a ɡ a t i,,ɡ a t a ɡ a t i,auto-accepted,,transphone_yoruba_swahili
gicunji,ɡ i t ũ d i,ɡ i t u ʃ i,no,ɡ i t ũ d i,ɡ i t u ʃ i,,needs-analyst-review,,transphone_yoruba_swahili
grey,ɡ r e j,ɡ r a j,no,ɡ r e j,ɡ r a j,,needs-analyst-review,,transphone_yoruba_swahili
gìcunjì,ɡ i t ũ d i,ɡ i t u ʃ i,no,ɡ i t ũ d i,ɡ i t u ʃ i,,needs-analyst-review,,transphone_yoruba_swahili
gùkù,ɡ u k u,ɡ u k u,yes,ɡ u k u,,ɡ u k u,auto-accepted,,transphone_yoruba_swahili
handu,h ã d u,h a d u,no,h ã d u,h a d u,,needs-analyst-review,,transphone_yoruba_swahili
igirí,i ɡ i r i,i ɡ i r i,yes,i ɡ i r i,,i ɡ i r i,auto-accepted,,transphone_yoruba_swahili
ithathatū,i s a s a t u,i t a t a t u,no,i s a s a t u,i t a t a t u,,needs-analyst-review,,transphone_yoruba_swahili
kang,k ã ɡ,k a ɡ,no,k ã ɡ,k a ɡ,,needs-analyst-review,,transphone_yoruba_swahili
kimani,k i m a n i,k i m a n i,yes,k i m a n i,,k i m a n i,auto-accepted,,transphone_yoruba_swahili
kíríma,k i r i m a,k i r i m a,yes,k i r i m a,,k i r i m a,auto-accepted,,transphone_yoruba_swahili
kùuma,k u m a,k u m a,yes,k u m a,,k u m a,auto-accepted,,transphone_yoruba_swahili
maaí,m a i,m a i,yes,m a i,,m a i,auto-accepted,,transphone_yoruba_swahili
makìria,m a k i r i a,m a k i r i a,yes,m a k i r i a,,m a k i r i a,auto-accepted,,transphone_yoruba_swahili
mana,m a n a,m a n a,yes,m a n a,,m a n a,auto-accepted,,transphone_yoruba_swahili
mbarathi,b a r a s i,m b a r a t i,no,b a r a s i,m b a r a t i,,needs-analyst-review,,transphone_yoruba_swahili
mbìa,m b i a,m b i a,yes,m b i a,,m b i a,auto-accepted,,transphone_yoruba_swahili
mugwanja,m u ɡ w ẽ d a,m u ɡ w a n ʃ a,no,m u ɡ w ẽ d a,m u ɡ w a n ʃ a,,needs-analyst-review,,transphone_yoruba_swahili
mwírí,m w i r i,m w i r i,yes,m w i r i,,m w i r i,auto-accepted,,transphone_yoruba_swahili
múgwanja,m u ɡ w ẽ d a,m u ɡ w a n ʃ a,no,m u ɡ w ẽ d a,m u ɡ w a n ʃ a,,needs-analyst-review,,transphone_yoruba_swahili
mĩaka,m e a k a,m a k a,no,m e a k a,m a k a,,needs-analyst-review,,transphone_yoruba_swahili
mũgwanja,m o ɡ w ẽ d a,m ɔ ɡ w a ʃ a,no,m o ɡ w ẽ d a,m ɔ ɡ w a ʃ a,,needs-analyst-review,,transphone_yoruba_swahili
ngi,m i,ŋ i,no,m i,ŋ i,,needs-analyst-review,,transphone_yoruba_swahili
njiira,d i r a,d i r a,yes,d i r a,,d i r a,auto-accepted,,transphone_yoruba_swahili
njíra,d i r a,d i r a,yes,d i r a,,d i r a,auto-accepted,,transphone_yoruba_swahili
njûûi,d u i,u i,no,d u i,u i,,needs-analyst-review,,transphone_yoruba_swahili
nyimbo,m ĩ b o,ɲ i b ɔ,no,m ĩ b o,ɲ i b ɔ,,needs-analyst-review,,transphone_yoruba_swahili
river,r i f e r,r i v a r,no,r i f e r,r i v a r,,needs-analyst-review,,transphone_yoruba_swahili
rìu,r i u,r i u,yes,r i u,,r i u,auto-accepted,,transphone_yoruba_swahili
rîmwe,r ĩ w e,r i m w a,no,r ĩ w e,r i m w a,,needs-analyst-review,,transphone_yoruba_swahili
rúciiní,r u t i n i,r u t i n i,yes,r u t i n i,,r u t i n i,auto-accepted,,transphone_yoruba_swahili
rûhuho,r u h u h o,r u h u h ɔ,no,r u h u h o,r u h u h ɔ,,needs-analyst-review,,transphone_yoruba_swahili
rĩrĩ,r e r e,r a r a,no,r e r e,r a r a,,needs-analyst-review,,transphone_yoruba_swahili
rūhuho,r u h u h o,r u h u h ɔ,no,r u h u h o,r u h u h ɔ,,needs-analyst-review,,transphone_yoruba_swahili
straight,s t r a i t,s t r a i t,yes,s t r a i t,,s t r a i t,auto-accepted,,transphone_yoruba_swahili
thi,s i,t i,no,s i,t i,,needs-analyst-review,,transphone_yoruba_swahili
thîiniî,s i ĩ i,t i n i,no,s i ĩ i,t i n i,,needs-analyst-review,,transphone_yoruba_swahili
undu,ũ d u,u n d u,no,ũ d u,u n d u,,needs-analyst-review,,transphone_yoruba_swahili
ìtano,i t a n o,i t a n ɔ,no,i t a n o,i t a n ɔ,,needs-analyst-review,,transphone_yoruba_swahili
íkoragwo,i k o r a ɡ w o,i k ɔ r a w ɔ,no,i k o r a ɡ w o,i k ɔ r a w ɔ,,needs-analyst-review,,transphone_yoruba_swahili
úthie,u s i e,u t i a,no,u s i e,u t i a,,needs-analyst-review,,transphone_yoruba_swahili
ûyû,u j u,u j u,yes,u j u,,u j u,auto-accepted,,transphone_yoruba_swahili
ĩyo,e j o,a j ɔ,no,e j o,a j ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ūingìre,u ĩ ɡ i r e,u i ɡ i r a,no,u ĩ ɡ i r e,u i ɡ i r a,,needs-analyst-review,,transphone_yoruba_swahili
ūmotho,u m o s o,u m ɔ t ɔ,no,u m o s o,u m ɔ t ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ūrìo,u r i o,u r i ɔ,no,u r i o,u r i ɔ,,needs-analyst-review,,transphone_yoruba_swahili
biú,b i u,b i u,yes,b i u,,b i u,auto-accepted,,transphone_yoruba_swahili
faith,f a i s,f a i θ,no,f a i s,f a i θ,,needs-analyst-review,,transphone_yoruba_swahili
gakiuga,ɡ a k i u ɡ a,ɡ a k i u ɡ a,yes,ɡ a k i u ɡ a,,ɡ a k i u ɡ a,auto-accepted,,transphone_yoruba_swahili
gatatū,ɡ a t a t u,ɡ a t a t u,yes,ɡ a t a t u,,ɡ a t a t u,auto-accepted,,transphone_yoruba_swahili
gìthaka,ɡ i s a k a,ɡ i t a k a,no,ɡ i s a k a,ɡ i t a k a,,needs-analyst-review,,transphone_yoruba_swahili
gìthomo,ɡ i s o m o,ɡ i t ɔ m ɔ,no,ɡ i s o m o,ɡ i t ɔ m ɔ,,needs-analyst-review,,transphone_yoruba_swahili
gîkî,ɡ i k i,ɡ i k i,yes,ɡ i k i,,ɡ i k i,auto-accepted,,transphone_yoruba_swahili
gūkorwo,ɡ u k o r w o,ɡ u k ɔ r w ɔ,no,ɡ u k o r w o,ɡ u k ɔ r w ɔ,,needs-analyst-review,,transphone_yoruba_swahili
igúka,i ɡ u k a,i ɡ u k a,yes,i ɡ u k a,,i ɡ u k a,auto-accepted,,transphone_yoruba_swahili
john,d o ɔ̃,d ɔ n,no,d o ɔ̃,d ɔ n,,needs-analyst-review,,transphone_yoruba_swahili
kìhooto,k i h o t o,k i h ɔ t ɔ,no,k i h o t o,k i h ɔ t ɔ,,needs-analyst-review,,transphone_yoruba_swahili
kûîna,k u ĩ n a,k u i n a,no,k u ĩ n a,k u i n a,,needs-analyst-review,,transphone_yoruba_swahili
kĩrĩa,k e r e a,k a r a,no,k e r e a,k a r a,,needs-analyst-review,,transphone_yoruba_swahili
maikaraga,m a i k a r a ɡ a,m a i k a r a ɡ a,yes,m a i k a r a ɡ a,,m a i k a r a ɡ a,auto-accepted,,transphone_yoruba_swahili
manini,m a n ĩ n i,m a n i n i,no,m a n ĩ n i,m a n i n i,,needs-analyst-review,,transphone_yoruba_swahili
maría,m a r i a,m a r i a,yes,m a r i a,,m a r i a,auto-accepted,,transphone_yoruba_swahili
mathina,m a s i n a,m a t i n a,no,m a s i n a,m a t i n a,,needs-analyst-review,,transphone_yoruba_swahili
mothe,m o s e,m ɔ t a,no,m o s e,m ɔ t a,,needs-analyst-review,,transphone_yoruba_swahili
múbira,m u b i r a,m u b i r a,yes,m u b i r a,,m u b i r a,auto-accepted,,transphone_yoruba_swahili
múgwaja,m u ɡ w a d a,m u ɡ w a ʃ a,no,m u ɡ w a d a,m u ɡ w a ʃ a,,needs-analyst-review,,transphone_yoruba_swahili
múirú,m u i r u,m u i r u,yes,m u i r u,,m u i r u,auto-accepted,,transphone_yoruba_swahili
múnini,m u n ĩ n i,m u n i n i,no,m u n ĩ n i,m u n i n i,,needs-analyst-review,,transphone_yoruba_swahili
mútongoria,m u t õ ɡ o r i a,m u t ɔ n ɡ ɔ r i a,no,m u t õ ɡ o r i a,m u t ɔ n ɡ ɔ r i a,,needs-analyst-review,,transphone_yoruba_swahili
